风机编号,联合重复总长度
1,536
2,12551
3,412
4,12932
5,12533
6,482
7,526
8,408
9,428
10,12561
11,1197
12,12492
13,12655
14,544
15,1269
16,697
17,514
18,4408
19,814
20,36108
21,12565
22,516
23,12565
24,12560
25,551
26,693
27,12932
28,547
29,520
30,546
31,12583
32,12759
33,1651
34,533
35,540
36,12587
37,428
38,562
39,662
40,656
41,630
42,609
43,667
44,654
45,666
46,665
47,682
48,650
49,650
50,630
51,642
52,638
53,630
54,654
55,663
56,462
57,644
58,667
